	rank	player	pts_per_g	trb_per_g	ast_per_g	stl_per_g	blk_per_g	fg_pct	ws	ws_per_48
170	2	Michael Jordan	32.5	8	8	2.9	0.8	0.538	19.8	0.292
171	3	Karl Malone	29.1	10.7	2.7	1.8	0.9	0.519	15.2	0.233
172	4	Patrick Ewing	22.7	9.3	2.4	1.5	3.5	0.567	10.9	0.181
173	5	Hakeem Olajuwon	24.8	13.5	1.8	2.6	3.4	0.508	12.4	0.197
174	6	Charles Barkley	25.8	12.5	4.1	1.6	0.8	0.579	16.1	0.25
175	7	John Stockton	17.1	3	13.6	3.2	0.2	0.538	15.6	0.236
176	8	Kevin Johnson	20.4	4.2	12.2	1.7	0.3	0.505	12.2	0.184
177	9	Tom Chambers	25.7	8.4	2.9	1.1	0.7	0.471	9.2	0.146
178	10	Mark Price	18.9	3	8.4	1.5	0.1	0.526	11.3	0.199
179	11	Brad Daugherty	18.9	9.2	3.7	0.8	0.5	0.538	9.6	0.164
180	11	Robert Parish	18.6	12.5	2.2	1	1.5	0.57	10.5	0.177
181	13	Mark Eaton	6.2	10.3	1	0.5	3.8	0.462	6.6	0.108
182	13	Moses Malone	20.2	11.8	1.4	1	1.2	0.491	10.7	0.178
183	13	Chris Mullin	26.5	5.9	5.1	2.1	0.5	0.509	10.6	0.165
184	13	Larry Nance	17.2	8	2.2	0.8	2.8	0.539	10.3	0.197
185	17	Terry Cummings	22.9	8.1	2.5	1.3	0.9	0.467	7.7	0.131
186	17	Joe Dumars	17.2	2.5	5.7	0.9	0.1	0.505	7	0.14
187	17	Isiah Thomas	18.2	3.4	8.3	1.7	0.3	0.464	7	0.115
188	1	Magic Johnson	22.3	6.6	11.5	1.7	0.4	0.48	16.5	0.27
189	2	Charles Barkley	25.2	11.5	3.9	1.9	0.6	0.6	17.3	0.269
190	3	Michael Jordan	33.6	6.9	6.3	2.8	0.7	0.526	19	0.285
191	4	Karl Malone	31	11.1	2.8	1.5	0.6	0.562	15.9	0.245
192	5	Patrick Ewing	28.6	10.9	2.2	1	4	0.551	13.5	0.205
193	6	David Robinson	24.3	12	2	1.7	3.9	0.531	15.1	0.241
194	7	Hakeem Olajuwon	24.3	14	2.9	2.1	4.6	0.501	11.2	0.173
195	8	Tom Chambers	27.2	7	2.3	1.1	0.6	0.501	11.2	0.176
196	9	John Stockton	17.2	2.6	14.5	2.7	0.2	0.514	14.4	0.238
197	10	Larry Bird	24.3	9.5	7.5	1.4	0.8	0.473	9.5	0.154
198	10	Buck Williams	13.6	9.8	1.4	0.8	0.5	0.548	8.7	0.149
199	12	Clyde Drexler	23.3	6.9	5.9	2	0.7	0.494	11.6	0.208
200	13	Joe Dumars	17.8	2.8	4.9	0.8	0	0.48	8.7	0.162
201	13	Isiah Thomas	18.4	3.8	9.4	1.7	0.2	0.438	6.7	0.107
202	1	Michael Jordan	31.5	6	5.5	2.7	1	0.539	20.3	0.321
